cv_path,nct_id,title,sponsor,phase,expected_answer
88dda213-c631-4e5e-843a-7aea762f9d42.pdf,NCT04849728,"A Randomised, Double-blind, Placebo-controlled, Multicentre, Phase 3 Study Evaluating Efficacy and Safety of Lanifibranor Followed by an Active Treatment Extension in Adult Patients With Non-cirrhotic Non-alcoholic Steatohepatitis (NASH) and Fibrosis Stages F2 and F3",Inventiva Pharma,Phase 3,false
6f62cc2a-4cc2-4754-9620-22c72ddedaff.pdf,NCT02887183,"A 52 Week, Open Label Evaluation of the Effects of Sacubitril/Valsartan (LCZ696) Therapy on Biomarkers, Myocardial Remodeling and Patient-reported Outcomes in Heart Failure With Reduced Left Ventricular Ejection Fraction.",Novartis Pharmaceuticals,Phase 4,false
3fd59295-f532-453a-bdc2-6243f69a5c6a.pdf,NCT04178967,"A Randomized, Double-blind, Placebo Controlled Trial to Evaluate the Efficacy and Safety of Lebrikizumab in Patients With Moderate to Severe Atopic Dermatitis.",Eli Lilly and Company,Phase 3,false
8efa2094-6f7c-4eed-8045-3a66359f112e.pdf,NCT05569005,"A 3-year, 3-group, Preference, Multi-center Study to Demonstrate the Slowing of Disease Progression When Switching From Cigarette Smoking to the Tobacco Heating System (THS) in Mild to Moderate Chronic Obstructive Pulmonary Disease (COPD) Subjects With a History of Chronic Bronchitis Symptoms.",Philip Morris Products S.A.,Not Applicable,true
5566249b-ab1b-487f-a90b-54edf43f4443.pdf,NCT05704101,Influence of Nasal High-flow Therapy (NHFT) on Ventilation and Sympathetic Drive in Patients With Asthma,RWTH Aachen University,,false
ad7d6337-7344-4aee-872e-fbd0bb6deb5c.pdf,NCT04890548,A Mechanistic Study to Evaluate the Vasodilatory Effects of AZD3427 in Patients With Heart Failure With Preserved Ejection Fraction (HFpEF) and Patients With Heart Failure With Reduced Ejection Fraction (HFrEF),AstraZeneca,Phase 1,false
92d1a19a-7c60-41ba-b955-9aa1c3495bfd.pdf,NCT05581303,"A Double-blind, Randomized, Placebo-controlled, Multicenter Study Assessing the Impact of Olpasiran on Major Cardiovascular Events in Participants With Atherosclerotic Cardiovascular Disease and Elevated Lipoprotein(a)",Amgen,Phase 3,true
2c6509ea-7dfe-4bfb-b580-119984b09f2f.pdf,NCT05383287,"Characteristics, Phenotypes, and TRAITS of Heart Failure With Preserved Ejection Fraction (TRAITS-HFpEF)",Manchester University NHS Foundation Trust,,false
0c1e8326-445f-4baa-97cd-fbe804d257e9.pdf,NCT04525885,"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, 12-Month Study to Evaluate the Efficacy and Safety of MK-7264 in Adult Participants With Chronic Cough (PN030)",Merck Sharp & Dohme LLC,Phase 3,false
fa2f80d5-0278-4264-b814-8c0ba7fea40a.pdf,NCT03569293,"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects With Moderate to Severe Atopic Dermatitis",AbbVie,Phase 3,false
6552d44d-60a2-4e40-acb0-e21f1c3cf17c.pdf,NCT05438329,"A Phase 1/2a, Multicenter, Open-Label, Non-Randomized First in Human Study to Assess the Safety, Tolerability, Pharmacokinetics, and Preliminary Antitumor Activity of DB-1305 in Subjects With Advanced/Metastatic Solid Tumors",DualityBio Inc.,"Phase 1, Phase 2",false
f34f4b0c-455d-4be5-8b37-13da6d688973.pdf,NCT05581303,"A Double-blind, Randomized, Placebo-controlled, Multicenter Study Assessing the Impact of Olpasiran on Major Cardiovascular Events in Participants With Atherosclerotic Cardiovascular Disease and Elevated Lipoprotein(a)",Amgen,Phase 3,false
48ee66ee-d633-4719-b2f8-dabc00b3908a.pdf,NCT05147805,"A Phase 2b, Randomized, Double-Blind, Multicenter, Placebo-Controlled Study to Evaluate the Efficacy, Safety, and Pharmacokinetics of Treprostinil Palmitil Inhalation Powder in Participants With Pulmonary Arterial Hypertension",Insmed Incorporated,Phase 2,true
2a90040f-bd2a-40c3-b34b-d9d2dd387ade.pdf,NCT04320342,"A Phase III, 52-week, Multinational, Multicenter, Randomized, Double-blind, 2-arm Parallel Group Study Comparing Efficacy, Safety and Tolerability of the Fixed Dose Triple Combination of Beclomethasone Dipropionate Plus Formoterol Fumarate Plus Glycopyrronium Bromide (CHF 5993) With the Fixed Dose Dual Combination of Beclomethasone Dipropionate Plus Formoterol Fumarate (CHF 1535), Both Administered Via pMDI in Subjects With Chronic Obstructive Pulmonary Disease (COPD)",Chiesi Farmaceutici S.p.A.,Phase 3,false
a2908446-0d92-45c6-b223-e5b798eccf70.pdf,NCT00117611,Effects of Anti-IgE Antibody Omalizumab (Xolair) on Patients With Chronic Sinusitis and a Positive Allergen Test,University of Chicago,Phase 4,false
b3e4d85c-8e54-41a6-ab0b-b8800c92e2b5.pdf,NCT02465567,"A Randomized, Double-Blind, Multi-Center, Parallel-Group Study to Assess the Efficacy and Safety of PT010 Relative to PT003 and PT009 on COPD Exacerbations Over a 52-Week Treatment Period in Subjects With Moderate to Very Severe COPD (Ethos)","Pearl Therapeutics, Inc.",Phase 3,false
"61ad6879-8e86-4df2-a2c1-fcf1b1d85fa7-Danielsen, Mark, CV_04 MAY 2022.pdf",NCT05213611,"A Non-interventional, Multi-centre Study to Investigate the Change in Clinical and Patient-reported Outcomes in Moderate to Severe COPD Patients Treated With TRIXEO (Budesonide / Glycopyrronium / Formoterol) Under Real-life Conditions",AstraZeneca,,false
a34d10a8-55b2-48cd-a425-0a2483e9e0d1-S.Pascal_CV_dated_18Jan2023_Signed.pdf,NCT02077465,"A Phase 1 Double-Blind, Randomized, Placebo-Controlled, Multicenter Study Evaluating the Safety, Tolerability, and Pharmacokinetics of GS-5745 in Subjects With Chronic Obstructive Pulmonary Disease",Gilead Sciences,Phase 1,false
d9c79b56-d8da-4646-addf-30e595a2b21e.pdf,NCT05196919,"A Placebo-controlled, Double-blind Evaluation of Safety, Tolerability, and Efficacy of XT- 150 for the Treatment of Facet Joint Osteoarthritis Pain","Xalud Therapeutics, Inc.",Phase 2,false
4eea0f38-7e02-461a-85dc-98bba4db6640.pdf,NCT04888585,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Safety and Efficacy of ABBV-154 in Subjects With Moderately to Severely Active Rheumatoid Arthritis With Inadequate Response to Biologic and/or Targeted Synthetic Disease-Modifying Anti-Rheumatic Drugs (b/tsDMARDs)",AbbVie,Phase 2,true
